feedback,preprocessed_text,sentiment_score,label
"When a company is terrible I have left a scathing review but on this occasion I was really impressed so I thought it was only fair to leave a positive review. Very (nicely) surprised that it would come from such a large company as Nike. I ordered some trainers like I have done many times from Nike. They were realtively cheap and came with free delivery so already a winner, however, after a week of usage the trainers were not to the standard I would have hoped. As I had thrown away the box, the return slip and used them a few times I would assume that Nike would say a refund was not possible. I jumped on to the chat function was put through to a rep straight away, the dude replied immediately, told me 'he had my back' which was cool. He sent me a new return slip, told me it was cool to return in any box and that i would get a full refund. I have to say awesome service and how it should be for this sort of company. Kudos. Good customer relations - Just did it!",company terrible left scathing review occasion really impressed thought fair leave positive review nicely surprised would come large company nike ordered trainers like done many times nike realtively cheap came free delivery already winner however week usage trainers standard would hoped thrown away box return slip used times would assume nike would say refund possible jumped chat function put rep straight away dude replied immediately told back cool sent new return slip told cool return box would get full refund say awesome service sort company kudos good customer relations,0.9891,positive
Ordered my two sons shoes for school. Both great prices and received my order quickly. Love the free shipping,ordered two sons shoes school great prices received order quickly love free shipping,0.9118,positive
Made around 20 orders this year there my go to for trainers tracksuits etc never had a problem always delivered when they say and fast,made around orders year go trainers tracksuits etc never problem always delivered say fast,0.3089,positive
I ordered Nike air forces and They came unscratched both the shoes and the box. They actually came a day before they were supposed to come,ordered nike air forces came unscratched shoes box actually came day supposed come,0.0,neutral
Nike by you air max 90 personalisee parfait commande 29/05 reçu le 14/06  plus rapide que je pensais merci a vous +++++,nike air max personalisee parfait commande reçu le plus rapide que je pensais merci vous,0.0,neutral
Fast shipping and a good service. Easy to use website Product came in 2 days and on a bank holiday weekend too. Can’t complain at all.,fast shipping good service easy use website product came days bank holiday weekend cant complain,0.8628,positive
I really don't understand all the bad reviews. Nike have gone above and beyond for me on several occasions now.,really dont understand bad reviews nike gone beyond several occasions,0.4791,negative
"The Brooklyn 11 hoody and Airforce 1s bought for my teenager arrived today. He is still at school, so ofc I try on the hoody. I decide I want it. But I can't have it because it's his. I'm going to order another one right now. I'm joking. That'll have to wait until next week.Let me explain: The Brooklyn 11 hoody has a very distinctive cut around the neckline. It extenuates the shoulders neck and arms. It has enough body and shape that you can pair it with both tight and loose-fitting jeans. It's dope and I'm confident Kanye West would approve.I made a point to provide a review here because I read these reviews the day after my purchase, and on the strength of the dismal ratings fretted that I'd made a big mistake. I'm here to set the record straight. The parcel arrived on cue (14 days as promised). It may have arrived sooner if it hadn't got held up at NZ customs for a week! But two weeks from Europe or USA, for a clothing parcel? that's good. They provide an ETA based on your location so if you can't bear the thought of waiting 2-3 weeks then don't buy it. They give you a thirty-minute window from POS to cancel for full refund. Not bad!The customer service ""chat"" option is fast and efficient. They give you clear instructions on returns (which are free btw).",brooklyn hoody airforce 1s bought teenager arrived today still school ofc try hoody decide want cant im going order another one right im joking thatll wait next weeklet explain brooklyn hoody distinctive cut around neckline extenuates shoulders neck arms enough body shape pair tight loosefitting jeans dope im confident kanye west would approvei made point provide review read reviews day purchase strength dismal ratings fretted id made big mistake im set record straight parcel arrived cue days promised may arrived sooner hadnt got held nz customs week two weeks europe usa clothing parcel thats good provide eta based location cant bear thought waiting weeks dont buy give thirtyminute window pos cancel full refund badthe customer service chat option fast efficient give clear instructions returns free btw,0.9201,positive
"I bought a pair of shoes, they arrived in expected quality from Nike. I have no complaints with your service. Excellent!",bought pair shoes arrived expected quality nike complaints service excellent,0.25,negative
Your real friends are those who hold your hand in the storm. Nike will forever be goated for holding ours. KTBFFH.,real friends hold hand storm nike forever goated holding ktbffh,0.743,positive
Their product is of the best quality and very durable. They have one of the best delivery and customer services ever.,product best quality durable one best delivery customer services ever,0.8555,positive
"Company is okay, just okay. I am not impressed. I get my delivery but it takes too long, you don’t hold your breath.",company okay okay impressed get delivery takes long dont hold breath,0.7096,positive
Best brand in the business - love my new training gear! Thanks for the quick delivery too!,best brand business love new training gear thanks quick delivery,0.9062,positive
Fast delivery and outstanding shopping experienceI highly recommend using Nike their delivery times were amazing,fast delivery outstanding shopping experiencei highly recommend using nike delivery times amazing,0.8908,positive
"Took a number of attempts but replacement trainers received free of charge, all good in the end",took number attempts replacement trainers received free charge good end,0.7579,positive
AMAZING website.. Brilliant delivery time to UK.. 2 trainers order 2 days later deliver well packaged.,amazing website brilliant delivery time uk trainers order days later deliver well packaged,0.8658,positive
"Ordered three pairs of sliders, delivery was very prompt and the sliders are very comfy.",ordered three pairs sliders delivery prompt sliders comfy,0.0,neutral
JR Helped throughout my entire process with my questions and help. Big Big applause. Thank you so Much!,jr helped throughout entire process questions help big big applause thank much,0.7906,positive
Good experience with Nike.com. I'll purchase again.,good experience nikecom ill purchase,0.0258,positive
Fast delivery great product very happy with this,fast delivery great product happy,0.8316,positive
"Viktor was so extremely helpful and polite. Great customer service, thank you Viktor and Nike!",viktor extremely helpful polite great customer service thank viktor nike,0.8737,positive
"Recently ordered some shoes that were on sale, they came quickly and fit really well. very happy.",recently ordered shoes sale came quickly fit really well happy,0.8347,positive
Always order Air Force from Nike and they are delivered super quick. I’ve had no issues so far.,always order air force nike delivered super quick ive issues far,0.5994,positive
Great ordered a pair of air force ones from Nike by u and they came out fresh and very fast,great ordered pair air force ones nike u came fresh fast,0.7506,positive
Customer service is lovely. Thank you so much Ernie! Will definitely be ordering again ☺️,customer service lovely thank much ernie definitely ordering,0.8402,positive
Make several orders in last 2 years and always no issue and delivered in 3 days with UPS.,make several orders last years always issue delivered days ups,0.0,negative
I ordered an AJ from the website and it arrived properly and they also provided me a discount.,ordered aj website arrived properly also provided discount,0.0,neutral
Best customer service they had. What ever issue u have. They are great at deal with that.,best customer service ever issue u great deal,0.8519,positive
So far so good never had a problem with them. Deliveries or returns always went smooth.,far good never problem deliveries returns always went smooth,0.6319,positive
"Brilliant, trainers arrived next day.",brilliant trainers arrived next day,0.5859,positive
The highest quality shoes in the world! thank you for your work! You are a great company,highest quality shoes world thank work great company,0.765,positive
The socks are very comfy and lasting.. goes really well with my white Nike trainers,socks comfy lasting goes really well white nike trainers,0.3384,positive
"Nice brand, fast shipping! Thanks Nike :-)",nice brand fast shipping thanks nike,0.6908,positive
"The product is good, just fall in love with them!!",product good fall love,0.7964,positive
Their policy and Black Friday sale are the best!I can return shoes anytime I want!,policy black friday sale besti return shoes anytime want,0.0772,positive
Ordered many times Nike shoes shipped free with UPS in 3 days ! All good as always.,ordered many times nike shoes shipped free ups days good always,0.7351,positive
"Got some great new trainers, would be 5 star rating if they weren't so expensive!",got great new trainers would star rating werent expensive,0.6249,positive
"Very pleased with my order , always great quality garments with a fast delivery",pleased order always great quality garments fast delivery,0.7906,positive
Stick by you when times get tough. They make rubbish Chelsea shirts though.,stick times get tough make rubbish chelsea shirts though,-0.128,negative
"successful fabric - cotton with polyester, cool, color, shape, seam quality",successful fabric cotton polyester cool color shape seam quality,0.7269,positive
My order was arrived in a timely manner. Everything is good so far.,order arrived timely manner everything good far,0.4404,positive
"Fast delivery, exceeded delivery timescales and great pair of trainers.",fast delivery exceeded delivery timescales great pair trainers,0.6249,positive
I bought Nike gloves and I really like them I will def cop things again,bought nike gloves really like def cop things,0.4201,positive
i recommend high quality and worth the money most of the time,recommend high quality worth money time,0.5267,positive
"I've jut received my new shoes from their website, very fast sending",ive jut received new shoes website fast sending,0.0,neutral
The website is great just wish they’d offer more delivery choices.,website great wish theyd offer delivery choices,0.7783,positive
Bought a tracksuit set it’s a little small but love the material,bought tracksuit set little small love material,0.6022,positive
Perfect as usual! Aj 1 low coral size 10.5 🔥,perfect usual aj low coral size,0.3818,positive
They are able to refund and return the item through a local store.,able refund return item local store,0.0,neutral
Excellent customer service at Long Beach Outlet store!Thanks,excellent customer service long beach outlet storethanks,0.5719,positive
the shoes were black and i like black although i chose the colour,shoes black like black although chose colour,0.3612,positive
my order arrived in 3 days from day of order with UPS . all good,order arrived days day order ups good,0.4404,positive
"All in order, package came in time and everything was right",order package came time everything right,0.0,neutral
"👍🏽 Very good service, best out of all the big shoe companies.",good service best big shoe companies,0.7964,positive
"All in order, package came in time and everything was right",order package came time everything right,0.0,neutral
Would definitely recommend over three and hyundai,would definitely recommend three hyundai,0.6369,positive
Good site but slow shipping in comparison to adidas,good site slow shipping comparison adidas,0.4404,positive
"Best of the best, always buy their trainers :)",best best always buy trainers,0.8555,positive
"Good products, thank you",good products thank,0.6597,positive
Great sneakers but a little bit overpriced.,great sneakers little bit overpriced,0.6249,positive
Great trailers purchased online and fast delivery,great trailers purchased online fast delivery,0.6249,positive
I like my new pair of shoes and it was affordable,like new pair shoes affordable,0.3612,positive
Fantastic products they get it right every time,fantastic products get right every time,0.5574,positive
"Love my shoes, fast shipping and easy to order",love shoes fast shipping easy order,0.7964,positive
"I like Nike Shoes, best brand. Quality is good.",like nike shoes best brand quality good,0.8625,positive
All arrived but a little lateHence the 4 star,arrived little latehence star,0.0,neutral
I like the shoes very much.. Very high quality.,like shoes much high quality,0.3612,positive
Lots to choose from got some good deals 👌,lots choose got good deals,0.4404,positive
"Average shoes, high price",average shoes high price,0.0,neutral
Great brand! My family and I love Nike.,great brand family love nike,0.8519,positive
My favouite brand! Very good quality!,favouite brand good quality,0.4404,positive
quick delivery. good quality,quick delivery good quality,0.4404,positive
"very good site, no worries",good site worries,0.0258,negative
Maximum comforts.,maximum comforts,0.4767,positive
"I made an order and had a little issue and also couple of other questions. I entered the Live Chat on nike.com and Ronald was servicing me. He was amazing, very polite, answered all my questions very quickly, resolved the issue, very nice. Amazing customer service, I am very happy and awaiting for my Air Force 1's 🤩🤩🤩",made order little issue also couple questions entered live chat nikecom ronald servicing amazing polite answered questions quickly resolved issue nice amazing customer service happy awaiting air force 1s,0.9413,positive
"I ordered a product from Nike and timed it so that it would arrive prior to the hot weather week we were all expecting. I ensured that someone was home to accept the parcel but it never arrived! The Nike customer service was brilliant in explaining what happened to my order but it turns out that DPD just decided that I wasn't in and returned the item to Nike! This isn't the first time DPD has done this in our area as its quite rural. What a waste of time. I don't want a refund, I want what I ordered please! I gave 3 stars because DPD let Nike down here.",ordered product nike timed would arrive prior hot weather week expecting ensured someone home accept parcel never arrived nike customer service brilliant explaining happened order turns dpd decided wasnt returned item nike isnt first time dpd done area quite rural waste time dont want refund want ordered please gave stars dpd let nike,0.6343,positive
"Always very fast and on time, most bad reviews seem to be people shouting about nothing",always fast time bad reviews seem people shouting nothing,-0.5423,negative
"Wow! Just wow!Fast delivery! What more could you want?I returned an item from my order today and Madhuri and Jamie from the customer care team on the Nike App were so helpful!Issued a refund straight away for the item I returned and mind you, it was my first time returning an item! It came up on my PayPal account as I paid through paypal. Hands down one of the best experiences of my online retail and would highly recommend to anyone to shop online at Nike!",wow wowfast delivery could wanti returned item order today madhuri jamie customer care team nike app helpfulissued refund straight away item returned mind first time returning item came paypal account paid paypal hands one best experiences online retail would highly recommend anyone shop online nike,0.9422,positive
"Great discounts and sales across the site regularly, happy with my purchases and with the prices. I’ll be using Nike website a lot more than the shops.",great discounts sales across site regularly happy purchases prices ill using nike website lot shops,0.7184,positive
Have ordered 10+ pairs of trainers as well as other items from Nike. Every time the delivery is quick and always left emails detailing when things will arrive. Surprised by all the negative reviews as my experience has been top notch,ordered pairs trainers well items nike every time delivery quick always left emails detailing things arrive surprised negative reviews experience top notch,0.0258,positive
"I love this brand, one of the best",love brand one best,0.8555,positive
"Always ordering direct from Nike, far better than the middle man companies, prices are the same, offer student discount and delivery is fast and free if you are a member!  Plus I have sent things back and refunded within days, really good service!",always ordering direct nike far better middle man companies prices offer student discount delivery fast free member plus sent things back refunded within days really good service,0.8553,positive
"I have an incomplete spinal cord injury and I have difficulty completing tasks that rely on my hands. I was looking for sneakers I can put on independently. I like to go for a good long walk using my Rollator walker and I need a quality shoe. I also prefer to be more stylish so I’m not interested in the usual Velcro options offered for folks like me. Luckily, NIKE has the new Flyease line. I tried several sizes and models before finding a perfect fit in the Nike air zoom Pegasus 38 model. The Nike representatives were awesome in helping me figure out what would work and the return policy made it quick and easy, not to mention cost free, to try out different shoes. I also enjoy the dry fit line of clothing. It’s perfect for Arizona weather. Thank you NIKE for developing some more options for those of us who are unable to tie our shoes, and still  eager to be physically active.",incomplete spinal cord injury difficulty completing tasks rely hands looking sneakers put independently like go good long walk using rollator walker need quality shoe also prefer stylish im interested usual velcro options offered folks like luckily nike new flyease line tried several sizes models finding perfect fit nike air zoom pegasus model nike representatives awesome helping figure would work return policy made quick easy mention cost free try different shoes also enjoy dry fit line clothing perfect arizona weather thank nike developing options us unable tie shoes still eager physically active,0.9915,positive
I ordered the wrong item but Manuel could not have been more helpful and kind about it. Shopping at Nike.com is always such a pleasure the returns and exchange process is too easy with speedy delivery too can’t fault them!,ordered wrong item manuel could helpful kind shopping nikecom always pleasure returns exchange process easy speedy delivery cant fault,0.8992,positive
"It is hard to find many things in stock, but when I do manage to order something it is usually pretty fast delivery. Free returns is also good.",hard find many things stock manage order something usually pretty fast delivery free returns also good,0.8402,positive
Always great service. Impeccable products. Perfect.,always great service impeccable products perfect,0.8316,positive
"Not sure where all the hate for Nike is coming from. Ordered some Wild Horse 7’s on May 5th, arrived on May 8th which was some five days earlier than expected and everything was perfect. Brand new product in perfect packaging and shoes fitted as expected, half a size larger than my ASICS and they fit like a glove. Top job.",sure hate nike coming ordered wild horse 7s may 5th arrived may 8th five days earlier expected everything perfect brand new product perfect packaging shoes fitted expected half size larger asics fit like glove top job,0.8957,positive
"I have ordered many times with Nike, and the service is stunning. They offered free returns, which is very convenient as I had to use this feature.Overall, their products have a wonderful design and they are very good quality.",ordered many times nike service stunning offered free returns convenient use featureoverall products wonderful design good quality,0.91,positive
First time ordering directly with Nike. Lots of delivery updates and parcel came well packaged and as expected.,first time ordering directly nike lots delivery updates parcel came well packaged expected,0.2732,positive
I just want to thank Majid from the Taplow Branch who has been extremely helpful and kind throughout my shop. He has delivered the best customer service. Thank you once again.,want thank majid taplow branch extremely helpful kind throughout shop delivered best customer service thank,0.9457,positive
"After seeing all the bad reviews i got scared my order would not be handled with respect, but that is not true. Bought 2 shoes, received them the next day, and returned one with no problems, I got refunded the next day. Good service!",seeing bad reviews got scared order would handled respect true bought shoes received next day returned one problems got refunded next day good service,-0.0772,negative
The best!! Nike service is incredible.  From sales and offers to produce and availability.The customer service and returns is on point as well.I’ve ordered lots from Nike and never had a bad experience.,best nike service incredible sales offers produce availabilitythe customer service returns point wellive ordered lots nike never bad experience,0.7935,positive
Shauni from tallicutry nike factory was absolutely amazing really polite and fast 😊,shauni tallicutry nike factory absolutely amazing really polite fast,0.624,positive
So far so good I got 25% off any full price item even a £400 item would of been 300 birthday treat from nike the greedy company you are all talking about nike is top quality I had air max since I was walking,far good got full price item even item would birthday treat nike greedy company talking nike top quality air max since walking,0.6249,positive
"Made an order for a tech fleece. Thing came super fast. However the top was missing, they refunded it instantly. Amazing service amazing products. Best customer service.",made order tech fleece thing came super fast however top missing refunded instantly amazing service amazing products best customer service,0.946,positive
They provide me a discount because the package was delay. I am okay with that!,provide discount package delay okay,-0.1027,negative
Bad service for this website!Delay packages!,bad service websitedelay packages,-0.5423,negative
"Great site, great products and great customer service. Always order from here and have no problems, item usually come 4 or 5 days early aswell.Great feature of free delivery if you’re a member too.5/5 stars.",great site great products great customer service always order problems item usually come days early aswellgreat feature free delivery youre member too55 stars,0.9313,positive
"I have no idea where all the rubbish reviews are coming from although they all sound suspiciously the same. The website is brilliant, excellent sale price for my trainers. Goods dispatched as promised the day after ordering. Already have the tracking. If nothing now goes wrong it will have been one of the smoothest shopping experiences I have had outside of Amazon prime. If anything does go wrong I will update. I am just glad I ordered before I saw these shocking reviews. Are they for real???? I am within the UK.So, a few days later: Trainers arrive via DPD our best UK courier, full tracking provided and actually earlier than estimated, and the trainers are exactly as described and expected and even more comfortable/better quality than I could have hoped. Is my experience really such an exception to the bulk of genuine (?) reviews?",idea rubbish reviews coming although sound suspiciously website brilliant excellent sale price trainers goods dispatched promised day ordering already tracking nothing goes wrong one smoothest shopping experiences outside amazon prime anything go wrong update glad ordered saw shocking reviews real within ukso days later trainers arrive via dpd best uk courier full tracking provided actually earlier estimated trainers exactly described expected even comfortablebetter quality could hoped experience really exception bulk genuine reviews,0.9648,positive
I love nikeThe shoes are all very stylish and are also super comfortable.,love nikethe shoes stylish also super comfortable,0.9081,positive
Found a great sale online and was actually able to return an item that didn't fit.,found great sale online actually able return item didnt fit,0.457,positive
I had an issue with an order I placed. No I didn’t get out come that I wanted but the customer service from Abbie was fantastic. Extremely polite and as helpful as she could be. I will be shopping with Nike again as I could not fault the agent.It’s hard this day to have a customer service agent that actually are polite and are will to listen.,issue order placed didnt get come wanted customer service abbie fantastic extremely polite helpful could shopping nike could fault agentits hard day customer service agent actually polite listen,0.5542,positive
Ordered trainers over the weekend. They arrived early and could also be tracked. Seamless delivery and will be using them again in future.,ordered trainers weekend arrived early could also tracked seamless delivery using future,0.0,neutral
Ordered sneakers in Spain. Fast delivery.,ordered sneakers spain fast delivery,0.0,neutral
Impressed with Nike ordered some leggings and they fit perfect and delivery was as stated!,impressed nike ordered leggings fit perfect delivery stated,0.8519,positive
Bought runners online but they were too small. Returned them free of charge and refund has been issued. All in all from ordering to refund took about 4 days. Delighted with the speed. Pity about the fitting.,bought runners online small returned free charge refund issued ordering refund took days delighted speed pity fitting,0.6597,positive
I've been wearing Nike shoes all my life I'm really happy with all my purchases. Only thing that concerns me is that the price is a little bit expensive for the running shoes.,ive wearing nike shoes life im really happy purchases thing concerns price little bit expensive running shoes,0.6115,positive
Got some air force 1's recently and love them. Quality is amazing and they look so fresh!,got air force 1s recently love quality amazing look fresh,0.8834,positive
Purchase regularly from Nike.comMy most recent purchase was 5 pairs of Air Max for me and 1 pair as a gift. So that I did not have to wait on delivery they sent the items in 3 orders so i got them sooner.The pair that was a gift was too small which was unusual as a size ten usually always fit. I wanted to exchange but they did not have the same ones in Stock. I returned for refund which was done quickly no problem at all.Bonus 2 days after refund they were back in stock and 10.5 ordered.Will continue to order,purchase regularly nikecommy recent purchase pairs air max pair gift wait delivery sent items orders got soonerthe pair gift small unusual size ten usually always fit wanted exchange ones stock returned refund done quickly problem allbonus days refund back stock orderedwill continue order,0.6808,negative
Had no problems with the order items arrived as ordered. Maybe the sizing is a bit wrong on the website as my item arrived a bit too tight. But other than that good service.,problems order items arrived ordered maybe sizing bit wrong website item arrived bit tight good service,-0.4404,positive
I like the brand and it’s seems better to buy direct from the manufacturer,like brand seems better buy direct manufacturer,0.6597,positive
I am a regular customer on this site and delivery has always been timely. One recommendation would be to attempt to try on the runners/boots in a store prior to ordering (if the cost benefit exists to use the site as a result of discounts etc) as sizing over differing shoe types can lead to the shoe not always realising the perfect fit.,regular customer site delivery always timely one recommendation would attempt try runnersboots store prior ordering cost benefit exists use site result discounts etc sizing differing shoe types lead shoe always realising perfect fit,0.8481,positive
Ordered a pair of Air Force 1s Thursday and they arrived Sunday morning. Perfect in every way. If you want Nike stuff why go anywhere else!!!!,ordered pair air force 1s thursday arrived sunday morning perfect every way want nike stuff go anywhere else,0.6124,positive
"by far the best experience I've had with customer service. I requested to return a pair of leggings that had some stitching loose and without an order number handy, I was able to return them with no problem at all and the person I spoke to was very helpful.",far best experience ive customer service requested return pair leggings stitching loose without order number handy able return problem person spoke helpful,0.4172,positive
"amazingDelivery on time, never late to refund, what else I can have.",amazingdelivery time never late refund else,0.0,neutral
"My favourite company. I buy a lot of clothes from Nike because they last really well and look good after a lot of wear. Compelled to review after I recently got my first faulty item, fault occurred after return period. I spoke to an ACTUAL person on the end of the customer service chat who was so nice and had the issue resolved really quickly. Can’t wait till the shops reopen as Nike Outlet is superb for end of line and reduced stuff. Online shopping is so easy with free shipping and returns. Wish more companies would operate like this",favourite company buy lot clothes nike last really well look good lot wear compelled review recently got first faulty item fault occurred return period spoke actual person end customer service chat nice issue resolved really quickly cant wait till shops reopen nike outlet superb end line reduced stuff online shopping easy free shipping returns wish companies would operate like,0.9626,positive
Great service with a very easy returns facility. Fast refunds.,great service easy returns facility fast refunds,0.7906,positive
So so impressed with Nikes online customer service today. Quick resolve on a return issue I faced today. Despite any of that the return policy and navigation options and chat service online is great!! Thank you Nike,impressed nikes online customer service today quick resolve return issue faced today despite return policy navigation options chat service online great thank nike,0.9062,positive
Great experience arrived a day early always was informed by text of delivery time and wasn't disappointed was not a second late. Also where alot cheaper than anywhere else will be ordering again soon.,great experience arrived day early always informed text delivery time wasnt disappointed second late also alot cheaper anywhere else ordering soon,0.7687,positive
"My experience with Nike is brilliant. I have been shopping with them for almost a year and every time the service is great. Parcels arrive fast, free delivery for members, returns are so easy and refunded without fuss and they do have good sales and offers. Best shop I ever used.",experience nike brilliant shopping almost year every time service great parcels arrive fast free delivery members returns easy refunded without fuss good sales offers best shop ever used,0.9509,positive
"I’m a regular buyer from Nike but rarely recognise their ongoing commitment to delivering excellent service so here it it on the best forum I can think of.From price, options and customer care, Nike nail it every time. Thanks Nike!",im regular buyer nike rarely recognise ongoing commitment delivering excellent service best forum think offrom price options customer care nike nail every time thanks nike,0.9155,positive
When they have their back to summer discount codes this is the place to be to get all your Nike shoes!,back summer discount codes place get nike shoes,0.0,neutral
Outstanding customer service and exceptional products; the team are always on hand to help with product knowledge and are always happy to correct things if they’re not right!10/10,outstanding customer service exceptional products team always hand help product knowledge always happy correct things theyre right1010,0.9274,positive
Thanks for great service! Would order again!,thanks great service would order,0.7906,positive
"Brilliant, ordered shoes on the 28th of feb and arrived 2nd March. Don’t understand all the complaints?",brilliant ordered shoes 28th feb arrived 2nd march dont understand complaints,0.7234,positive
Very pleased! Bought lots of  X Sonic  for my little sister for her birthday. very high quality and great condition.,pleased bought lots x sonic little sister birthday high quality great condition,0.7906,positive
"I purchased some running shoes from the Nike GB online shop. They were despatched and delivered very quickly. They ended up being too big for me so I had to return them. The returns process was the easiest and fastest I’ve ever experienced with any online shop ever. I took them to the post office on Thursday, and by Monday the return had been acknowledged and the refund had been submitted to my credit card. The returns process was so easy that it made me confident enough to try another pair of running shoes. The second pair were also delivered quickly and this time they fit perfectly and I love them. Thank you Nike",purchased running shoes nike gb online shop despatched delivered quickly ended big return returns process easiest fastest ive ever experienced online shop ever took post office thursday monday return acknowledged refund submitted credit card returns process easy made confident enough try another pair running shoes second pair also delivered quickly time fit perfectly love thank nike,0.9747,positive
Excellent products and helpful stuff have used many times. Live updates of delivery have called customer services to get sizing guide they was helpful.,excellent products helpful stuff used many times live updates delivery called customer services get sizing guide helpful,0.8519,positive
Customer service are soo helpful. I purchased a pair of trainers with my 25% birthday discount a month ago and I decided I wanted to exchange the colour and it was so easy to do so. I told the customer service assistant and he processed the exchange for me straight away and sent me a return label to my email and the new shoes arrived 4 days later. Super quick and super helpful. Highly highly reccomend. I’ve purchased about 4 shoes over the past 6 months and every time has been such an easy experience.,customer service soo helpful purchased pair trainers birthday discount month ago decided wanted exchange colour easy told customer service assistant processed exchange straight away sent return label email new shoes arrived days later super quick super helpful highly highly reccomend ive purchased shoes past months every time easy experience,0.9643,positive
"I have ordered many things from nike.com. I have been very pleased with the quality of all items apart from some Nikepro synthetic tracksuit trousers which have ripped around the heel.The custom shoes have been of very good quality. In addition, the delivery has usually been fast for all items (relative, obviously the custom shoes take much longer but both have arrived before the allotted date)Generally, I have been happy with the products. I would bear in mind that large companies often have positive and negative experiences for customers so please take my review with a pinch of salt",ordered many things nikecom pleased quality items apart nikepro synthetic tracksuit trousers ripped around heelthe custom shoes good quality addition delivery usually fast items relative obviously custom shoes take much longer arrived allotted dategenerally happy products would bear mind large companies often positive negative experiences customers please take review pinch salt,0.8934,positive
"I'm really satisfied with quality that nike offers i am wearing mostly nike stuffs also i have to mention that i am very satisfied with the last product i bought W AF1 SHELL sneakers, very easy to wear i didn't expect i can walk for so long with this sneakers and not get tired. 👍",im really satisfied quality nike offers wearing mostly nike stuffs also mention satisfied last product bought w af1 shell sneakers easy wear didnt expect walk long sneakers get tired,0.734,positive
